policy_id,customer_age,vehicle_age,annual_mileage,base_rate,current_premium,risk_segment,age_group
POL-000120,35,2,23800,795.18,1823.08,high,25-40
POL-000121,55,14,24500,951.11,1732.44,medium,>40
POL-000122,66,4,25600,1154.39,2418.94,high,>40
POL-000123,47,4,9600,950.98,975.31,low,>40
POL-000124,41,16,7100,1068.28,945.55,low,>40
POL-000125,40,2,20500,973.08,1928.25,medium,25-40
POL-000126,23,9,25100,905.74,2945.06,high,<25
POL-000127,32,12,27200,1131.69,2326.22,high,25-40
POL-000128,45,15,16800,829.59,1285.28,medium,>40
POL-000129,32,8,5500,796.1,567.03,low,25-40
POL-000130,56,10,15900,1114.02,1415.32,low,>40
POL-000131,42,12,17300,903.09,1317.42,medium,>40
POL-000132,20,6,23700,1095.77,4034.05,high,<25
POL-000133,66,3,25700,829.79,1743.18,high,>40
POL-000134,44,17,20300,1095.83,2047.98,medium,>40
POL-000135,34,10,10400,782.91,861.46,low,25-40
POL-000136,44,7,8500,966.56,870.1,low,>40
POL-000137,66,2,17200,1147.15,2190.34,medium,>40
POL-000138,35,1,9500,984.48,1242.49,low,25-40
POL-000139,67,8,26200,985.68,1991.92,medium,>40
POL-000140,29,1,6300,1119.59,1391.04,low,25-40
POL-000141,41,7,17400,1109.62,1591.28,medium,>40
POL-000142,38,4,15600,827.04,1221.07,medium,25-40
POL-000143,50,4,12300,844.0,935.54,low,>40
POL-000144,48,14,8900,1117.24,1145.33,low,>40
POL-000145,58,4,5300,997.04,639.4,low,>40
POL-000146,23,7,10600,963.06,1751.29,medium,<25
POL-000147,19,4,10700,804.26,2124.22,high,<25
POL-000148,26,8,22300,844.08,1920.14,high,25-40
POL-000149,72,7,9500,1080.89,1234.24,low,>40
POL-000150,53,7,16600,991.4,1268.6,low,>40
POL-000151,32,12,7500,1102.12,980.56,low,25-40
POL-000152,22,2,16800,967.58,2948.16,high,<25
POL-000153,34,1,5000,830.28,690.43,low,25-40
POL-000154,43,2,30000,911.61,2313.73,high,>40
POL-000155,70,7,12700,1144.82,1578.73,low,>40
POL-000156,23,9,5000,932.12,1061.95,low,<25
POL-000157,66,0,9800,810.26,1073.3,low,>40
POL-000158,40,9,9100,911.67,875.95,low,25-40
POL-000159,70,5,10000,845.43,1050.64,low,>40
POL-000160,47,17,11500,984.23,1271.34,low,>40
POL-000161,24,8,10000,1079.04,1889.26,medium,<25
POL-000162,32,16,9300,845.63,936.63,low,25-40
POL-000163,41,14,8000,987.81,944.85,low,>40
POL-000164,69,5,19500,786.98,1381.67,medium,>40
POL-000165,19,11,23200,1175.71,4981.31,high,<25
POL-000166,42,5,12000,1064.51,1262.15,low,>40
POL-000167,49,18,13400,1158.35,1652.6,medium,>40
POL-000168,68,5,8100,955.54,947.72,low,>40
POL-000169,43,9,13900,993.44,1257.09,low,>40
POL-000170,48,20,15000,934.62,1434.85,medium,>40
POL-000171,18,9,12200,936.78,2613.65,high,<25
POL-000172,23,5,16100,847.91,2129.7,high,<25
POL-000173,29,2,15500,1143.6,2550.93,high,25-40
POL-000174,45,2,8400,828.24,918.99,low,>40
POL-000175,35,9,23100,963.72,1781.36,medium,25-40
POL-000176,21,6,12300,967.35,2325.19,high,<25
POL-000177,42,2,28700,907.04,2236.79,high,>40
POL-000178,49,10,16300,913.69,1282.29,low,>40
POL-000179,60,10,30000,919.72,1822.94,medium,>40
POL-000180,40,6,22900,919.29,1576.02,medium,25-40
POL-000181,37,16,15000,1158.41,1750.63,medium,25-40
POL-000182,37,1,9800,939.98,1210.54,low,25-40
POL-000183,40,5,9800,949.0,986.41,low,25-40
POL-000184,29,9,17200,1074.01,2107.17,medium,25-40
POL-000185,33,3,14400,850.39,1191.89,low,25-40
POL-000186,42,11,10400,903.48,946.79,low,>40
POL-000187,38,13,19600,785.83,1413.08,medium,25-40
POL-000188,69,0,13700,979.65,1613.39,medium,>40
POL-000189,51,16,19700,914.91,1446.28,medium,>40
POL-000190,45,9,8700,977.87,912.5,low,>40
POL-000191,59,4,21200,1103.25,1742.1,medium,>40
POL-000192,35,2,16900,976.23,1791.61,medium,25-40
POL-000193,65,12,23100,783.13,1488.92,medium,>40
POL-000194,29,2,21000,934.92,2540.54,high,25-40
POL-000195,65,9,13000,948.22,1240.68,low,>40
POL-000196,42,2,12500,961.94,1382.02,medium,>40
POL-000197,20,6,30000,981.94,4213.56,high,<25
POL-000198,45,12,11800,925.72,1053.1,low,>40
POL-000199,70,4,18900,965.09,1814.02,medium,>40
POL-000200,36,16,11400,916.92,1159.29,low,25-40
POL-000201,68,10,5800,1153.06,892.83,low,>40
POL-000202,42,3,7800,855.52,766.63,low,>40
POL-000203,32,2,16200,782.88,1397.8,medium,25-40
POL-000204,38,3,18500,910.09,1501.16,medium,25-40
POL-000205,38,6,16200,1152.2,1656.22,medium,25-40
POL-000206,43,17,22600,986.12,1976.11,medium,>40
POL-000207,59,19,16100,964.08,1425.77,medium,>40
POL-000208,57,4,9500,1115.65,1045.51,low,>40
POL-000209,35,4,17600,975.56,1557.83,medium,25-40
POL-000210,69,11,14600,930.97,1313.57,medium,>40
POL-000211,35,11,10400,996.72,1096.73,low,25-40
POL-000212,49,15,16700,983.06,1517.15,medium,>40
POL-000213,41,15,14000,986.78,1357.96,low,>40
POL-000214,47,3,10300,1159.75,1245.09,low,>40
POL-000215,42,2,12500,855.5,1229.1,medium,>40
POL-000216,23,10,25500,784.29,2576.5,high,<25
POL-000217,42,7,25100,988.82,1799.38,medium,>40
POL-000218,20,1,14700,926.12,3104.69,high,<25
POL-000219,73,2,13900,936.62,1701.3,medium,>40
POL-000220,29,9,7100,1105.5,1220.32,low,25-40
POL-000221,66,6,29300,924.58,2009.32,high,>40
POL-000222,65,9,21500,1113.1,2019.8,medium,>40
POL-000223,71,3,18900,820.45,1542.15,medium,>40
POL-000224,32,10,5000,791.19,540.84,low,25-40
POL-000225,50,8,13800,808.48,917.48,low,>40
POL-000226,23,10,12700,1102.99,2303.28,high,<25
POL-000227,38,4,18400,834.32,1371.34,medium,25-40
POL-000228,41,4,11000,826.62,926.2,low,>40
POL-000229,46,2,12200,970.53,1372.52,medium,>40
POL-000230,42,5,17800,976.97,1496.74,medium,>40
POL-000231,58,13,9500,965.87,950.41,low,>40
POL-000232,41,15,10400,1091.02,1237.62,low,>40
POL-000233,37,2,14700,820.17,1374.75,medium,25-40
POL-000234,51,6,24700,946.82,1568.65,medium,>40
POL-000235,29,17,19400,785.07,1923.2,high,25-40
POL-000236,46,19,21900,852.35,1673.47,medium,>40
POL-000237,40,5,13900,911.19,1188.67,low,25-40
POL-000238,21,14,26500,1173.36,5133.84,high,<25
POL-000239,63,12,6200,905.52,644.08,low,>40
POL-000240,20,12,30000,1145.72,5019.86,high,<25
POL-000241,21,1,30000,1096.21,5842.74,high,<25
POL-000242,28,4,16600,988.45,1953.67,medium,25-40
POL-000243,41,6,19600,980.78,1519.69,medium,>40
POL-000244,29,6,13300,1066.8,1734.35,medium,25-40
POL-000245,19,6,12300,780.8,2144.89,high,<25
POL-000246,34,20,10300,959.8,1211.78,low,25-40
POL-000247,47,5,13200,791.27,998.14,low,>40
POL-000248,37,8,17300,780.16,1170.36,medium,25-40
POL-000249,39,8,16300,994.44,1435.18,medium,25-40
POL-000250,74,6,30000,830.89,2003.42,high,>40
POL-000251,38,3,14100,1065.21,1472.69,low,25-40
POL-000252,20,7,6900,1118.94,1847.12,medium,<25
POL-000253,37,1,28300,917.47,2354.06,high,25-40
POL-000254,74,9,7800,978.99,1004.12,low,>40
POL-000255,26,1,10500,1067.21,1848.13,medium,25-40
POL-000256,33,8,15300,937.74,1298.79,low,25-40
POL-000257,39,4,16300,925.11,1405.39,medium,25-40
POL-000258,34,3,7000,995.68,873.2,low,25-40
POL-000259,38,11,9600,1072.75,1120.54,low,25-40
POL-000260,32,5,6900,1144.63,994.49,low,25-40
POL-000261,29,7,17900,818.2,1613.48,medium,25-40
POL-000262,18,1,23000,1155.45,5921.89,high,<25
POL-000263,38,16,7800,922.85,911.73,low,25-40
POL-000264,53,7,21100,849.13,1269.88,medium,>40
POL-000265,24,7,20500,992.78,2771.71,high,<25
POL-000266,71,9,10000,922.75,1112.32,low,>40
POL-000267,54,0,5500,798.91,619.29,low,>40
POL-000268,38,17,8300,994.05,1090.71,low,25-40
POL-000269,33,5,10300,943.74,1063.85,low,25-40
POL-000270,33,16,27000,847.49,1876.69,high,25-40
POL-000271,58,5,12800,1158.35,1317.67,low,>40
POL-000272,42,4,8600,932.03,889.91,low,>40
POL-000273,68,9,14400,919.48,1285.78,low,>40
POL-000274,21,20,7500,809.06,1662.27,high,<25
POL-000275,36,14,17000,1130.29,1852.91,medium,25-40
POL-000276,47,9,8700,1119.67,1044.82,low,>40
POL-000277,47,9,9300,839.42,818.01,low,>40
POL-000278,70,7,16000,954.64,1529.74,medium,>40
POL-000279,25,16,29700,1154.22,3496.2,high,25-40
POL-000280,35,11,30000,787.52,1725.22,high,25-40
POL-000281,34,2,8500,944.21,1108.55,low,25-40
POL-000282,36,3,10300,1065.8,1201.44,low,25-40
POL-000283,40,10,17000,913.98,1318.24,medium,25-40
POL-000284,58,2,22800,1101.13,2151.09,medium,>40
POL-000285,24,7,5100,852.92,964.01,low,<25
POL-000286,24,12,14000,1106.58,2461.89,high,<25
POL-000287,68,9,10800,1094.63,1269.64,low,>40
POL-000288,26,2,5700,966.22,1124.87,low,25-40
POL-000289,41,3,7400,969.33,839.39,low,>40
POL-000290,54,9,10500,948.23,919.9,low,>40
POL-000291,30,20,13900,1096.31,1681.87,medium,25-40
POL-000292,38,6,21200,803.75,1376.08,medium,25-40
POL-000293,36,12,15800,920.13,1328.71,medium,25-40
POL-000294,29,9,20700,1104.61,2444.49,high,25-40
POL-000295,45,4,13700,918.48,1186.95,low,>40
POL-000296,29,12,9800,1136.01,1546.24,low,25-40
POL-000297,40,1,12400,987.5,1411.35,medium,25-40
POL-000298,41,11,18500,1092.48,1664.71,medium,>40
POL-000299,68,9,21500,798.86,1449.59,medium,>40
POL-000300,70,4,12600,1164.59,1681.86,medium,>40
POL-000301,51,3,8900,956.46,859.11,low,>40
POL-000302,73,4,15700,1145.73,1908.94,medium,>40
POL-000303,22,4,16700,851.91,2191.24,high,<25
POL-000304,37,5,23500,965.67,1860.82,medium,25-40
POL-000305,50,5,9900,1147.16,1104.25,low,>40
POL-000306,23,4,10000,1107.34,2040.85,medium,<25
POL-000307,36,1,19000,855.93,1695.09,medium,25-40
POL-000308,26,2,11200,969.37,1750.61,medium,25-40
POL-000309,23,13,11000,784.88,1615.95,high,<25
POL-000310,38,4,23700,827.81,1603.98,medium,25-40
POL-000311,71,5,7300,911.49,923.18,low,>40
POL-000312,24,5,30000,1122.48,4225.11,high,<25
POL-000313,33,16,10200,910.91,1071.36,low,25-40
POL-000314,47,4,19900,830.43,1367.89,medium,>40
POL-000315,32,3,12900,816.42,1065.32,low,25-40
POL-000316,24,9,15300,955.04,2250.99,high,<25
POL-000317,40,7,12000,832.21,937.38,low,25-40
POL-000318,52,9,19800,1092.04,1600.01,medium,>40
POL-000319,30,9,11500,805.2,945.83,low,25-40
POL-000320,69,12,10400,818.53,926.39,low,>40
POL-000321,51,2,30000,956.3,2232.99,high,>40
POL-000322,61,9,13700,854.74,1017.87,low,>40
POL-000323,52,3,10000,935.93,906.83,low,>40
POL-000324,74,1,6900,958.71,1104.58,low,>40
POL-000325,30,9,30000,854.65,1872.28,high,25-40
POL-000326,55,9,10500,970.69,941.69,low,>40
POL-000327,35,6,30000,933.69,2003.26,high,25-40
POL-000328,40,12,16200,941.9,1316.6,low,25-40
POL-000329,66,3,14400,851.06,1226.91,medium,>40
POL-000330,25,10,14600,944.08,1665.09,medium,25-40
POL-000331,73,6,30000,926.44,2233.8,high,>40
POL-000332,25,6,5000,821.89,707.45,low,25-40
POL-000333,46,1,14900,794.25,1279.1,medium,>40
POL-000334,20,12,12000,957.79,2313.25,high,<25
POL-000335,18,8,12300,860.3,2363.29,high,<25
POL-000336,20,10,14400,858.48,2334.26,high,<25
POL-000337,58,3,12000,1132.75,1235.61,low,>40
POL-000338,18,8,14700,986.7,3043.47,high,<25
POL-000339,63,6,13400,979.94,1126.57,low,>40
POL-000340,21,9,7500,992.81,1766.61,medium,<25
POL-000341,62,8,16000,850.59,1097.33,low,>40
POL-000342,68,18,18600,987.98,1883.94,medium,>40
POL-000343,36,15,10600,924.31,1114.65,low,25-40
POL-000344,52,5,30000,1081.7,2140.51,medium,>40
POL-000345,39,9,24600,782.61,1506.98,medium,25-40
POL-000346,73,5,19700,833.06,1608.62,medium,>40
POL-000347,49,12,19600,991.18,1568.14,medium,>40
POL-000348,19,6,13700,996.92,2937.36,high,<25
POL-000349,66,4,22600,848.89,1640.36,medium,>40
POL-000350,42,8,27400,981.45,1890.7,medium,>40
POL-000351,36,14,19400,821.55,1467.5,medium,25-40
POL-000352,41,13,10400,1114.62,1264.39,low,>40
POL-000353,38,5,13300,1135.72,1511.67,low,25-40
POL-000354,28,17,17500,1066.54,2443.41,high,25-40
POL-000355,19,3,19700,977.96,3840.86,high,<25
POL-000356,68,4,13000,964.96,1301.64,low,>40
POL-000357,64,12,10500,918.65,920.26,low,>40
POL-000358,43,1,27500,1135.2,2722.79,high,>40
POL-000359,30,7,8300,959.45,892.95,low,25-40
POL-000360,37,5,8800,1152.26,1172.59,low,25-40
POL-000361,19,18,7400,982.06,2285.92,high,<25
POL-000362,54,3,8800,926.57,826.18,low,>40
POL-000363,32,3,23700,1155.22,2238.38,medium,25-40
POL-000364,40,20,24000,1084.39,2259.61,high,25-40
POL-000365,75,5,13100,1108.15,1641.35,medium,>40
POL-000366,67,14,16900,949.3,1594.54,medium,>40
POL-000367,68,5,13400,978.97,1346.8,low,>40
POL-000368,48,4,7900,988.1,892.79,low,>40
POL-000369,22,14,30000,1065.93,4212.87,high,<25
POL-000370,38,20,25100,839.45,1890.96,high,25-40
POL-000371,37,15,15800,985.86,1541.04,medium,25-40
POL-000372,43,4,9200,1170.88,1168.07,low,>40
POL-000373,34,6,12200,1094.0,1307.85,low,25-40
POL-000374,19,3,9900,918.93,2307.54,high,<25
POL-000375,37,3,14100,819.91,1133.55,low,25-40
POL-000376,33,3,15500,988.1,1452.78,medium,25-40
POL-000377,22,5,11600,804.88,1633.65,medium,<25
POL-000378,18,7,7000,820.41,1562.33,medium,<25
POL-000379,38,7,30000,1175.5,2522.07,high,25-40
POL-000380,63,11,15000,945.82,1194.69,low,>40
POL-000381,36,7,16600,830.52,1212.9,medium,25-40
POL-000382,39,10,11200,997.08,1151.27,low,25-40
POL-000383,39,11,6700,809.12,668.98,low,25-40
POL-000384,24,4,13000,928.43,2029.29,high,<25
POL-000385,22,6,11700,929.36,1802.02,medium,<25
POL-000386,47,20,18600,829.6,1464.75,medium,>40
POL-000387,41,4,20300,917.96,1531.75,medium,>40
POL-000388,38,10,19000,918.13,1494.68,medium,25-40
POL-000389,45,2,21100,927.21,1872.13,medium,>40
POL-000390,33,11,30000,1124.58,2463.62,high,25-40
POL-000391,45,4,16100,1158.55,1662.82,medium,>40
POL-000392,40,7,22100,1123.28,1881.74,medium,25-40
POL-000393,35,2,16900,1151.66,2113.56,medium,25-40
POL-000394,30,6,5700,1171.25,853.84,low,25-40
POL-000395,40,6,12600,1146.88,1333.45,low,25-40
POL-000396,36,6,9100,963.56,952.05,low,25-40
POL-000397,65,9,15000,779.67,1119.59,medium,>40
POL-000398,65,13,9500,945.1,1091.7,low,>40
POL-000399,49,3,17700,1094.02,1669.94,medium,>40
POL-000400,73,6,21000,1121.39,2144.36,medium,>40
POL-000401,62,2,23200,992.85,2025.58,medium,>40
POL-000402,23,1,28000,1099.89,4671.06,high,<25
POL-000403,25,7,6400,1082.01,1093.45,low,25-40
POL-000404,63,3,7900,980.96,842.03,low,>40
POL-000405,43,7,30000,860.23,1757.76,medium,>40
POL-000406,61,8,21300,976.61,1517.43,medium,>40
POL-000407,62,1,14900,790.35,1209.18,medium,>40
POL-000408,42,8,13700,824.16,1011.8,low,>40
POL-000409,47,13,13200,940.99,1246.35,low,>40
POL-000410,52,10,5700,830.94,541.93,low,>40
POL-000411,72,3,9500,1138.88,1368.91,low,>40
POL-000412,48,6,12800,979.17,1150.17,low,>40
POL-000413,21,7,9800,1090.89,2262.11,high,<25
POL-000414,73,6,10400,858.1,1039.22,low,>40
POL-000415,40,2,30000,1088.05,2761.55,high,25-40
POL-000416,43,3,12100,914.29,1089.9,low,>40
POL-000417,28,5,15300,1156.83,2168.43,medium,25-40
POL-000418,64,7,15100,946.51,1175.98,low,>40
POL-000419,37,4,17600,949.07,1515.53,medium,25-40
POL-000420,46,1,10900,932.78,1225.97,low,>40
POL-000421,72,4,23700,906.91,1974.81,high,>40
POL-000422,25,18,16500,1085.68,2393.93,high,25-40
POL-000423,47,8,7600,974.86,816.0,low,>40
POL-000424,60,7,12900,1089.13,1221.53,low,>40
POL-000425,54,3,12500,996.8,1116.56,low,>40
POL-000426,20,5,12200,977.19,2459.38,high,<25
POL-000427,25,1,17000,983.12,2328.67,high,25-40
POL-000428,43,3,18000,985.46,1520.75,medium,>40
POL-000429,64,8,17000,837.95,1124.48,low,>40
POL-000430,24,7,15700,1116.21,2620.21,high,<25
POL-000431,35,4,14000,989.62,1361.86,low,25-40
POL-000432,64,6,5100,1111.77,682.14,low,>40
POL-000433,35,7,19200,786.86,1263.13,medium,25-40
POL-000434,61,4,16800,959.16,1344.49,low,>40
POL-000435,31,9,8700,787.66,771.76,low,25-40
POL-000436,33,7,15300,964.76,1336.21,low,25-40
POL-000437,46,5,18100,997.27,1544.53,medium,>40
POL-000438,56,2,22900,966.64,1893.74,medium,>40
POL-000439,45,4,17000,922.5,1371.67,medium,>40
POL-000440,35,4,15600,790.3,1166.82,medium,25-40
POL-000441,71,4,20700,808.22,1611.7,medium,>40
POL-000442,39,1,11800,916.35,1331.52,medium,25-40
POL-000443,49,15,16200,825.71,1249.38,medium,>40
POL-000444,53,15,10200,976.89,1006.71,low,>40
POL-000445,39,6,22200,965.02,1702.44,medium,25-40
POL-000446,37,7,6500,1133.13,899.66,low,25-40
POL-000447,43,9,19500,1112.79,1754.69,medium,>40
POL-000448,69,6,13600,918.91,1212.59,low,>40
POL-000449,43,8,20800,1135.43,1828.6,medium,>40
POL-000450,36,9,9500,1110.97,1152.59,low,25-40
POL-000451,64,7,14100,804.05,955.47,low,>40
POL-000452,22,11,13900,1137.84,2519.67,high,<25
POL-000453,25,4,16400,938.46,1840.31,medium,25-40
POL-000454,75,6,8400,918.49,968.18,low,>40
POL-000455,52,20,18000,948.43,1508.1,medium,>40
POL-000456,22,12,5900,1096.39,1390.98,low,<25
POL-000457,46,7,10000,1146.15,1146.72,low,>40
POL-000458,64,3,6700,1069.27,824.62,low,>40
POL-000459,72,6,19600,848.93,1552.16,medium,>40
POL-000460,33,12,16200,1115.67,1637.47,medium,25-40
POL-000461,48,10,16600,904.01,1283.83,medium,>40
POL-000462,70,1,26200,915.17,2509.89,high,>40
POL-000463,36,2,11700,1169.89,1690.56,medium,25-40
POL-000464,72,2,17800,823.03,1755.68,high,>40
POL-000465,35,9,13900,975.51,1296.12,low,25-40
POL-000466,31,2,13000,1162.87,1799.53,medium,25-40
POL-000467,71,3,24300,1099.87,2434.22,high,>40
POL-000468,49,6,30000,1125.25,2299.29,medium,>40
POL-000469,22,13,11100,964.28,1997.02,high,<25
POL-000470,36,9,19600,982.45,1632.04,medium,25-40
POL-000471,44,5,15600,942.41,1325.15,low,>40
POL-000472,61,11,15700,992.92,1291.93,low,>40
POL-000473,62,20,15100,1132.0,1658.12,medium,>40
POL-000474,32,6,11600,985.52,1140.17,low,25-40
POL-000475,39,2,5000,910.42,757.07,low,25-40
POL-000476,51,3,26900,946.52,1744.82,medium,>40
POL-000477,36,3,9900,1084.07,1190.97,low,25-40
POL-000478,45,3,12100,989.13,1179.12,low,>40
POL-000479,23,5,12200,924.82,1939.64,high,<25
POL-000480,18,8,9500,970.23,2253.32,high,<25
POL-000481,21,2,15000,908.47,3085.77,high,<25
POL-000482,50,2,13200,795.47,1089.33,low,>40
POL-000483,62,9,9800,932.89,893.54,low,>40
POL-000484,24,4,14400,976.78,2281.73,high,<25
POL-000485,44,3,13300,926.36,1174.29,low,>40
POL-000486,18,5,20500,980.1,3950.16,high,<25
POL-000487,53,15,7400,977.42,817.62,low,>40
POL-000488,38,10,9400,996.76,1027.02,low,25-40
POL-000489,37,10,18700,966.83,1557.76,medium,25-40
POL-000490,46,18,10100,831.27,986.87,low,>40
POL-000491,63,8,9000,828.33,735.19,low,>40
POL-000492,22,19,10400,1076.28,2279.01,high,<25
POL-000493,55,20,12900,1121.48,1436.06,low,>40
POL-000494,18,2,12900,848.82,2987.34,high,<25
POL-000495,43,1,12300,780.71,1109.95,medium,>40
POL-000496,34,3,8500,1078.19,1072.75,low,25-40
POL-000497,37,14,19100,828.25,1464.55,medium,25-40
POL-000498,18,5,24500,1158.87,5244.41,high,<25
POL-000499,45,5,5700,1098.42,802.75,low,>40
POL-000500,45,11,6700,850.46,669.68,low,>40
